Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"11,-1.01973530,-79.45924500,40.60,13.68,"""",1756935156315"
"16,-1.01220670,-79.46691000,99.20,1.73,"""",1756935858102"
"25,-1.02569670,-79.46254170,52.40,1.58,"""",1756936655670"
"23,-1.02381170,-79.46653000,45.60,1.67,"""",1756936292789"
"13,-1.02319170,-79.46085170,7.20,2.48,"""",1756935454528"
"14,-1.02457830,-79.46572000,71.30,8.52,"""",1756935685648"
"9,-1.00949170,-79.45412170,18.40,1.70,"""",1756929124971"
"2,-1.01831170,-79.45912500,50.20,9.13,"""",1756928452304"
"27,-1.02270830,-79.45918500,5.80,1.50,"""",1756937063269"
"12,-1.02242330,-79.45923670,19.40,1.60,"""",1756935276304"
"26,-1.02241830,-79.46097500,5.80,1.70,"""",1756937031681"
"8,-1.00515000,-79.44724830,18.40,9.11,"""",1756929035417"
"1,-1.02189670,-79.45919330,17.00,7.49,"""",1756928398009"
"6,-1.00516500,-79.44659000,13.50,2.97,"""",1756928785067"
"17,-1.01064500,-79.46674500,101.40,3.36,"""",1756935907039"
"21,-1.01221830,-79.46704330,101.50,1.45,"""",1756936133843"
"24,-1.02550000,-79.46655170,76.60,1.72,"""",1756936382426"
"19,-1.00653830,-79.46712000,100.90,1.70,"""",1756935991489"
"5,-1.00966170,-79.45451830,69.90,3.14,"""",1756928665921"
"10,-1.01499330,-79.46076830,68.60,1.97,"""",1756935057572"
"3,-1.01554170,-79.45904170,50.20,6.10,"""",1756928505820"
"18,-1.00641000,-79.46679330,100.90,7.23,"""",1756935966304"
"15,-1.01864500,-79.46547500,100.40,1.60,"""",1756935789068"
"7,-1.00511170,-79.44645500,13.50,1.92,"""",1756928829294"
"22,-1.01722330,-79.46580330,95.30,1.55,"""",1756936199301"
"4,-1.01499830,-79.46048330,69.20,2.50,"""",1756928557500"
"20,-1.01050170,-79.46695500,101.50,3.98,"""",1756936094823"
