Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"3,-1.00826170,-79.46954330,95.60,2.53,"""",1756764117881"
"9,-0.99171670,-79.47144670,90.20,2.13,"""",1756764822774"
"6,-1.00173000,-79.47244500,33.60,2.40,"""",1756764492184"
"10,-0.99516170,-79.47503830,47.90,2.30,"""",1756765059302"
"2,-1.00665000,-79.46679000,99.80,2.30,"""",1756764019506"
"14,-1.00861000,-79.46785670,84.60,2.00,"""",1756765600552"
"4,-1.00785330,-79.47405330,85.40,2.22,"""",1756764258165"
"5,-1.00611670,-79.47341000,95.10,2.05,"""",1756764334440"
"16,-1.01193830,-79.46705670,101.30,4.95,"""",1756765898977"
"12,-1.00463000,-79.47277170,72.30,4.97,"""",1756765392009"
"7,-0.99713500,-79.47424670,79.50,6.17,"""",1756764637591"
"11,-1.00183170,-79.47244000,36.70,2.40,"""",1756765286025"
"13,-1.00909500,-79.47162000,90.00,1.98,"""",1756765514499"
"8,-0.99485000,-79.46973500,89.70,2.07,"""",1756764738657"
"15,-1.01040830,-79.46700330,95.70,1.83,"""",1756765761892"
"1,-1.01054670,-79.46652830,101.30,6.30,"""",1756763925913"
