Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"10,-1.04780500,-79.47318000,47.40,1.97,"""",1756990986120"
"5,-1.03128830,-79.47084330,75.60,2.22,"""",1756990528583"
"8,-1.04302830,-79.47542500,87.50,1.97,"""",1756990779702"
"2,-1.02224500,-79.45938330,7.70,4.86,"""",1756990153296"
"4,-1.02812330,-79.46906330,81.10,5.07,"""",1756990421809"
"33,-1.00461830,-79.44677170,55.10,2.02,"""",1756994458621"
"6,-1.03660500,-79.47346500,74.60,3.40,"""",1756990629434"
"13,-1.05316000,-79.47160330,99.90,6.04,"""",1756991171247"
"7,-1.03918670,-79.47517670,99.30,2.35,"""",1756990707245"
"15,-1.04654170,-79.47142830,46.90,2.30,"""",1756991965443"
"1,-1.02232170,-79.45903500,18.40,2.40,"""",1756989854572"
"22,-1.02567670,-79.46262330,51.40,3.02,"""",1756993024239"
"25,-1.01278000,-79.44656170,50.40,2.00,"""",1756993523585"
"32,-0.99243000,-79.44450830,51.00,2.00,"""",1756994306722"
"12,-1.05064170,-79.47323170,88.00,1.97,"""",1756991045121"
"23,-1.02269500,-79.45932170,6.70,2.68,"""",1756993104661"
"26,-1.00812500,-79.44514330,-28.20,1.83,"""",1756993657131"
"17,-1.03891330,-79.47484000,87.40,2.28,"""",1756992271393"
"21,-1.02581830,-79.46297000,51.40,8.63,"""",1756992899465"
"14,-1.05066800,-79.47298950,91.60,3.80,"""",1756991817138"
"34,-1.00802170,-79.44399170,73.40,2.50,"""",1756994632027"
"3,-1.02551000,-79.46684000,70.10,3.95,"""",1756990344610"
"24,-1.02269170,-79.45928830,6.70,2.17,"""",1756993200101"
"18,-1.03059670,-79.46895000,74.60,2.37,"""",1756992527507"
"30,-0.99222000,-79.43777500,55.00,1.95,"""",1756994027797"
"19,-1.02891170,-79.46741330,88.50,2.17,"""",1756992600259"
"16,-1.04362830,-79.47434000,77.50,2.10,"""",1756992081868"
"9,-1.04651500,-79.47149830,47.40,2.52,"""",1756990947460"
"11,-1.04975330,-79.47442330,93.50,1.83,"""",1756991028152"
"27,-1.00507170,-79.44340330,88.60,1.70,"""",1756993740856"
"28,-1.00508170,-79.44653670,62.20,2.10,"""",1756993792928"
"31,-0.99209170,-79.43689330,87.50,2.10,"""",1756994086746"
"29,-0.99246330,-79.44473000,77.40,1.95,"""",1756993908184"
"20,-1.02668830,-79.46666670,80.00,2.45,"""",1756992644599"
"35,-1.00868670,-79.44645670,-43.80,10.57,"""",1756994745513"
