Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"5,-1.03554170,-79.45813500,71.70,2.45,"""",1755811406147"
"24,-1.03060830,-79.46881830,84.60,1.80,"""",1755815275665"
"22,-1.04230170,-79.47715500,96.20,1.73,"""",1755814884361"
"12,-1.03082670,-79.47019670,75.90,0.98,"""",1755812348744"
"29,-1.02349330,-79.45769330,44.50,2.57,"""",1755815926846"
"27,-1.02245500,-79.46109500,8.60,6.40,"""",1755815749293"
"28,-1.02269170,-79.45932670,8.60,2.60,"""",1755815777230"
"21,-1.05260670,-79.48424830,95.00,3.10,"""",1755814678486"
"23,-1.03898670,-79.47487170,101.10,2.12,"""",1755815041050"
"9,-1.02248830,-79.45925670,29.60,2.20,"""",1755811839684"
"17,-1.05920830,-79.48880670,91.90,1.97,"""",1755812994294"
"1,-1.04071500,-79.45283830,51.00,6.30,"""",1755810995102"
"6,-1.03463330,-79.45962830,71.00,1.82,"""",1755811446124"
"3,-1.03770500,-79.45356830,49.40,3.47,"""",1755811145453"
"19,-1.06834830,-79.47611170,89.50,2.25,"""",1755813270769"
"16,-1.04534670,-79.47937500,92.40,1.93,"""",1755812726704"
"11,-1.02818000,-79.46909170,72.60,1.70,"""",1755812280655"
"20,-1.06056170,-79.48938670,91.40,2.02,"""",1755814509470"
"25,-1.02971670,-79.46765000,75.70,2.18,"""",1755815309212"
"13,-1.03142500,-79.47104500,67.90,1.00,"""",1755812440280"
"7,-1.02882000,-79.45621500,52.80,1.98,"""",1755811512232"
"18,-1.06562670,-79.48148670,95.00,1.78,"""",1755813171568"
"14,-1.03687670,-79.47361330,94.80,1.88,"""",1755812577715"
"8,-1.02530170,-79.45407170,59.80,1.90,"""",1755811611734"
"2,-1.03686000,-79.45297330,57.20,1.87,"""",1755811119804"
"10,-1.02531830,-79.46728670,71.20,1.73,"""",1755812140805"
"15,-1.03965670,-79.47545830,92.40,2.80,"""",1755812641908"
"26,-1.02691170,-79.46664000,73.80,2.42,"""",1755815377664"
"4,-1.03776670,-79.45602000,60.90,2.10,"""",1755811277230"
