Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"23,-1.03668830,-79.47350830,96.80,2.18,"""",1756659040086"
"19,-1.02645830,-79.46747170,71.50,1.87,"""",1756658753609"
"3,-1.02315330,-79.46546830,72.30,2.17,"""",1756657338472"
"26,-1.06051170,-79.48964500,88.20,2.02,"""",1756659375670"
"32,-1.03069170,-79.46883170,75.80,1.77,"""",1756660685561"
"6,-1.00685830,-79.46673830,92.40,2.07,"""",1756657531899"
"9,-0.97920830,-79.47091170,74.90,2.03,"""",1756657812315"
"18,-1.02389000,-79.46658670,30.80,1.92,"""",1756658548196"
"29,-1.05905330,-79.48859670,92.30,1.68,"""",1756660163335"
"2,-1.02524500,-79.46616670,71.50,5.32,"""",1756657304380"
"5,-1.01052170,-79.46674670,97.10,1.77,"""",1756657496612"
"10,-0.98655830,-79.47154500,77.50,2.23,"""",1756657925269"
"7,-0.99962000,-79.46779170,94.20,2.03,"""",1756657592824"
"11,-0.99083500,-79.47151000,104.90,5.92,"""",1756658022203"
"33,-1.02995830,-79.46775500,79.30,2.02,"""",1756660739896"
"21,-1.02991330,-79.46862000,76.30,3.63,"""",1756658891578"
"14,-0.99630330,-79.46741000,99.30,2.07,"""",1756658158740"
"30,-1.04659170,-79.48009670,80.80,2.25,"""",1756660324818"
"22,-1.03100500,-79.46994330,76.30,2.08,"""",1756658916504"
"31,-1.03899000,-79.47486670,86.10,1.85,"""",1756660471915"
"1,-1.02664330,-79.46665830,73.70,3.94,"""",1756657211984"
"8,-0.98356000,-79.47036830,74.90,3.87,"""",1756657763721"
"24,-1.04512830,-79.47926170,88.50,2.10,"""",1756659203473"
"34,-1.02901330,-79.46743170,81.10,1.93,"""",1756660756833"
"4,-1.01223500,-79.46687330,88.70,2.05,"""",1756657464874"
"15,-1.00649330,-79.46713170,101.30,2.52,"""",1756658275280"
"17,-1.01242170,-79.46709500,100.30,4.18,"""",1756658410520"
"28,-1.06064670,-79.48960500,92.30,7.68,"""",1756660120329"
"13,-0.99513170,-79.46878500,95.90,2.22,"""",1756658116063"
"27,-1.07106000,-79.49643000,88.30,1.97,"""",1756660020974"
"25,-1.05877670,-79.48852830,62.30,1.93,"""",1756659353938"
"16,-1.01035830,-79.46696830,99.80,2.38,"""",1756658331951"
"12,-0.99467170,-79.46986000,104.90,2.32,"""",1756658094177"
"20,-1.02806000,-79.46803830,77.70,2.20,"""",1756658835809"
