Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"6,-1.01316170,-79.47185670,97.10,2.08,"""",1757002751851"
"8,-1.01019330,-79.47595330,98.60,2.02,"""",1757002899135"
"14,-1.01097330,-79.47194170,75.90,5.65,"""",1757003592159"
"28,-1.02380500,-79.45731830,54.10,2.42,"""",1757006818597"
"37,-1.02236330,-79.45915000,54.20,1.75,"""",1757007447301"
"2,-1.02829720,-79.46919990,71.60,2.22,"""",1757002049637"
"13,-1.00900830,-79.47443670,91.50,2.82,"""",1757003520127"
"29,-1.02580670,-79.45155670,73.30,1.88,"""",1757006932178"
"32,-1.03165000,-79.43899000,98.10,2.18,"""",1757007067781"
"12,-1.01036500,-79.47564500,92.40,2.84,"""",1757003474316"
"16,-1.01539670,-79.47273830,75.90,1.88,"""",1757003653059"
"17,-1.01765500,-79.47117830,88.20,2.07,"""",1757003692485"
"19,-1.03295170,-79.46964830,74.40,2.73,"""",1757006158711"
"36,-1.02377670,-79.45717830,70.40,1.90,"""",1757007361666"
"15,-1.01343670,-79.47190000,75.90,2.15,"""",1757003617629"
"23,-1.02886500,-79.46743000,71.50,1.58,"""",1757006378316"
"35,-1.02497170,-79.45389170,66.90,1.57,"""",1757007311346"
"39,-1.02539500,-79.46361670,25.50,1.85,"""",1757007589023"
"31,-1.02904330,-79.44289000,74.10,1.83,"""",1757007007539"
"34,-1.02727000,-79.44681000,-16.60,1.95,"""",1757007221220"
"3,-1.03081240,-79.47024580,71.60,2.20,"""",1757002080481"
"10,-1.00527330,-79.47945170,59.10,2.52,"""",1757003044640"
"25,-1.02630000,-79.46299000,50.10,2.10,"""",1757006579721"
"27,-1.02268000,-79.45925500,86.10,1.78,"""",1757006733275"
"30,-1.02754670,-79.44645000,68.30,2.02,"""",1757006976052"
"18,-1.02626330,-79.47144170,93.50,1.90,"""",1757005970564"
"33,-1.02919830,-79.44255000,-16.60,3.68,"""",1757007177664"
"4,-1.02367770,-79.47042630,91.70,5.83,"""",1757002253600"
"20,-1.03227330,-79.47045330,74.40,2.08,"""",1757006186642"
"1,-1.02536770,-79.46723800,71.60,3.35,"""",1757002003559"
"38,-1.02314830,-79.46088170,7.70,2.08,"""",1757007511255"
"5,-1.01576000,-79.47256330,97.10,2.37,"""",1757002466496"
"24,-1.02667330,-79.46666330,73.60,2.38,"""",1757006467410"
"7,-1.00976830,-79.47276830,41.60,2.62,"""",1757002820554"
"9,-1.00839170,-79.47721830,95.20,2.02,"""",1757002957976"
"26,-1.02247830,-79.46107670,8.10,1.60,"""",1757006708004"
"22,-1.02986330,-79.46772670,74.60,2.33,"""",1757006342592"
"11,-1.00785830,-79.47747500,88.00,2.05,"""",1757003395518"
"21,-1.03065000,-79.46889830,74.80,3.63,"""",1757006286908"
