Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"6,-1.05056830,-79.49467330,93.30,9.20,"""",1756840645050"
"2,-1.04462000,-79.48227670,94.20,1.90,"""",1756840348707"
"10,-1.04369170,-79.48395670,90.20,1.95,"""",1756841399441"
"27,-0.98869170,-79.46667170,2.10,8.05,"""",1756843337242"
"32,-1.01226000,-79.46708500,101.40,2.00,"""",1756843831711"
"13,-1.03816830,-79.47436170,92.00,2.50,"""",1756841824311"
"25,-0.97277330,-79.46913830,2.10,9.35,"""",1756843222625"
"34,-1.02388500,-79.46657830,47.30,6.31,"""",1756844020183"
"5,-1.04772670,-79.48857170,96.20,9.35,"""",1756840512147"
"12,-1.04531830,-79.48250330,90.20,2.25,"""",1756841470753"
"16,-1.02657330,-79.46665500,73.70,2.40,"""",1756842113926"
"23,-0.98832500,-79.46652330,99.20,5.26,"""",1756842855197"
"4,-1.04483500,-79.48758500,94.60,2.35,"""",1756840456508"
"36,-1.02808330,-79.46801500,77.60,11.67,"""",1756844218335"
"29,-0.99703830,-79.46749830,2.10,2.05,"""",1756843424752"
"19,-1.01211500,-79.46692500,100.20,2.20,"""",1756842553508"
"17,-1.02444830,-79.46588500,71.40,2.10,"""",1756842193901"
"35,-1.02506670,-79.46694500,71.90,15.95,"""",1756844097364"
"21,-1.00699830,-79.46675170,99.80,2.00,"""",1756842665238"
"22,-0.99986830,-79.46784830,100.80,2.10,"""",1756842732085"
"31,-1.01034500,-79.46698330,100.10,5.33,"""",1756843751216"
"28,-0.99455000,-79.46708500,2.10,8.45,"""",1756843390608"
"38,-1.03671500,-79.47348670,74.80,2.00,"""",1756844455310"
"26,-0.98303330,-79.46681500,2.10,5.55,"""",1756843296492"
"39,-1.03958670,-79.47544170,94.30,1.90,"""",1756844499419"
"18,-1.01874170,-79.46548000,29.80,6.30,"""",1756842344141"
"20,-1.01072500,-79.46678000,101.40,2.10,"""",1756842589944"
"24,-0.96649170,-79.47083000,82.30,1.90,"""",1756843039430"
"9,-1.05014000,-79.49343000,100.60,8.60,"""",1756841153276"
"14,-1.03130500,-79.47063330,74.60,1.85,"""",1756841984220"
"11,-1.04385330,-79.48209170,90.20,2.35,"""",1756841431806"
"8,-1.05127500,-79.49658670,102.20,7.30,"""",1756841078208"
"37,-1.03004170,-79.46870670,76.40,6.04,"""",1756844268310"
"1,-1.04441490,-79.48019030,74.90,2.33,"""",1756840273190"
"3,-1.04698170,-79.48375830,93.00,12.84,"""",1756840391495"
"7,-1.05139500,-79.49689170,102.10,9.00,"""",1756840706508"
"15,-1.02880830,-79.46747670,74.10,12.78,"""",1756842070611"
"33,-1.01722170,-79.46584170,101.40,2.15,"""",1756843891676"
"30,-1.00661670,-79.46711330,-9.40,1.95,"""",1756843575677"
