Point,Latitude,Longitude,Altitude,Accuracy,Comment,Timestamp
"2,-1.02564670,-79.45213000,73.20,2.03,"""",1756573462214"
"27,-1.02659830,-79.46658170,73.70,2.23,"""",1756579281703"
"34,-1.02581170,-79.46470330,73.70,2.22,"""",1756579316798"
"9,-1.02319330,-79.46084830,7.30,2.47,"""",1756574628189"
"32,-1.02580000,-79.46497170,73.70,2.23,"""",1756579314793"
"21,-1.01030170,-79.46696330,99.40,1.77,"""",1756578548936"
"5,-1.02926670,-79.44254500,80.30,4.32,"""",1756574272046"
"16,-1.01212670,-79.46686000,102.00,1.95,"""",1756577618675"
"13,-1.02349170,-79.47024500,85.80,2.42,"""",1756577237751"
"11,-1.02813170,-79.46908830,77.80,4.93,"""",1756577025900"
"17,-1.01109500,-79.46676830,108.80,1.53,"""",1756577657383"
"20,-1.00622830,-79.46150330,74.10,1.72,"""",1756578412941"
"24,-1.03247000,-79.46998670,74.80,3.02,"""",1756579046459"
"31,-1.02580000,-79.46497170,73.70,2.23,"""",1756579314665"
"7,-1.02480670,-79.45455500,73.10,2.83,"""",1756574423332"
"30,-1.02580000,-79.46497170,73.70,2.23,"""",1756579314338"
"22,-1.01233500,-79.46705170,101.30,2.18,"""",1756578625083"
"12,-1.03061500,-79.47012670,77.80,4.10,"""",1756577068399"
"29,-1.02580000,-79.46497170,73.70,2.23,"""",1756579314171"
"36,-1.02263670,-79.45937170,72.50,2.15,"""",1756579569962"
"26,-1.02895170,-79.46746830,75.50,2.30,"""",1756579222525"
"8,-1.02237000,-79.45914000,31.20,2.42,"""",1756574533123"
"15,-1.01783000,-79.47096000,97.20,1.58,"""",1756577493454"
"10,-1.02522670,-79.46726500,72.10,2.32,"""",1756574948241"
"23,-1.01760500,-79.47115330,87.50,2.02,"""",1756578775446"
"25,-1.03061330,-79.46878500,75.50,2.02,"""",1756579187751"
"3,-1.02429670,-79.44158500,93.50,4.04,"""",1756573663228"
"18,-1.00657000,-79.46680830,99.80,1.67,"""",1756577762935"
"28,-1.02580000,-79.46509500,73.70,2.27,"""",1756579313907"
"33,-1.02580830,-79.46484170,73.70,2.22,"""",1756579315324"
"1,-1.02368330,-79.45733500,40.80,3.23,"""",1756573377108"
"35,-1.02245500,-79.46109170,53.60,2.95,"""",1756579504579"
"19,-1.00620830,-79.46158170,74.30,6.06,"""",1756577849077"
"4,-1.02217170,-79.43710000,93.50,2.33,"""",1756573784028"
"14,-1.01546000,-79.47291670,97.20,9.86,"""",1756577456280"
"6,-1.02733500,-79.44655670,80.30,2.02,"""",1756574325302"
